,_latitude,_longitude,238_frequency_buying_store,81_number_online_purchases_month,288_number_app_purchases_month,289_number_whatsapp_purchases_month,83_willingness_ultrafast_delivery,84_willingness_sameday_delivery,241_age_of_the_interviewee,283_fulfill_needs,305_electricity_bill_store,306_water_bill_store
311,19.0712311093,-98.1671105325,3,1,0,0,0,0,18,yes,no,no
312,19.0712238212,-98.1671112031,3,7,5,0,300,300,22,yes,no,no
313,19.0712269899,-98.1671145558,2,2,1,0,50,50,24,yes,no,no
314,19.0713759206,-98.1672017276,1,3,0,0,0,0,22,yes,no,no
315,19.0716601559,-98.1669915095,1,0,0,0,30,30,20,yes,no,no
316,19.0716028019,-98.167033419,1,0,0,0,0,0,21,yes,no,no
317,19.0716009007,-98.1670367718,1,0,0,0,0,0,45,yes,yes,no
318,19.0722847115,-98.1655981019,6,0,0,0,80,0,64,yes,yes,yes
319,19.0696102916,-98.1664822251,4,2,20,2,50,500,50,yes,yes,yes
320,19.0709443382,-98.1673499197,1,2,3,0,40,100,19,yes,yes,yes
321,19.0708461071,-98.1674313918,1,30,60,0,30,200,18,yes,yes,yes
322,19.0707038304,-98.1675685197,5,0,0,0,0,100,26,yes,no,no
323,19.0708327664,-98.1676165165,3,3,1,2,30,30,18,yes,yes,yes
324,19.070659151,-98.1675953418,3,2,0,2,30,30,19,yes,yes,yes
325,19.0711506233,-98.1671685353,1,10,6,5,100,100,18,yes,yes,yes
326,19.0712542411,-98.1670884043,2,2,1,5,150,150,26,yes,yes,yes
327,19.0712460024,-98.1670961156,3,5,3,0,80,100,18,yes,no,no
328,19.0712466361,-98.1670984626,4,2,2,0,250,150,23,yes,no,no
329,19.0712472699,-98.1670971215,5,1,0,0,100,20,22,yes,no,no
330,19.071394933,-98.1671795994,2,2,5,2,80,150,21,yes,no,no
331,19.0716620572,-98.1669918448,1,0,0,1,0,0,29,yes,no,no
332,19.0716069213,-98.167033419,1,2,0,5,30,30,21,yes,no,no
333,19.0716604728,-98.1669918448,2,1,0,0,50,50,50,yes,no,no
334,19.0578233591,-98.2224064777,1,2,4,1,50,100,38,yes,no,no
335,19.0192516253,-98.2615284442,1,0,0,0,20,50,50,yes,no,no
336,19.0579346723,-98.222345439,1,2,3,0,0,50,28,yes,no,no
337,19.0187882027,-98.2617088594,1,5,10,0,30,80,20,yes,no,no
338,19.0192133175,-98.2625222119,3,1,5,0,50,120,25,yes,no,no
339,19.0196435072,-98.2625588265,2,1,3,0,40,100,26,yes,no,no
340,19.0200849669,-98.2624608,3,2,6,0,30,80,22,yes,no,no
341,19.022423871,-98.2611493421,4,0,0,5,30,50,36,yes,no,no
342,19.0223302274,-98.2608573122,1,2,4,0,40,90,33,yes,no,no
343,19.0221065143,-98.2599681058,1,1,2,5,30,50,42,yes,no,no
344,19.0208645258,-98.2606685814,1,3,4,0,80,120,19,yes,no,no
345,19.020214174,-98.2610308473,2,0,0,5,30,50,38,yes,yes,no
346,19.0194786072,-98.2613938303,5,1,0,4,25,50,57,yes,yes,yes
347,19.0207468242,-98.2606917086,1,2,5,4,50,80,30,yes,no,no
348,19.0225102393,-98.2615531596,3,1,6,4,30,50,25,yes,no,yes
