,_latitude,_longitude,97_number_of_customers_in_store,268_number_fridges,104_how_many_shelves_does_the_micro_retailer_have,2_current_permanent_employees,4_number_permanent_employees_last_year,145_number_direct_competitors,272_card_days_receive_money,276_expected_days_informal_credit,36_credit_default_rate,62_frequency_only_services,103_number_own_fridges,24_burnout,172_supplier_frequency,163_number_high_perishable_products,108_does_the_micro_retailer_has_a_barred_window_,99_does_the_micro_retailer_exhibits_products_outside_,102_does_the_micro_retailer_sells_fresh_products_
109,19.0178755,-98.2409087,5,1.0,0,1.0,2.0,4.0,1.0,1.0,1.0,6.0,1.0,5.0,2.0,100.0,no,no,yes
110,19.061342245,-98.3056541719,3,2.0,2,2.0,10.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,2.0,no,no,yes
111,19.0607875306,-98.3043719922,2,3.0,0,2.0,10.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,2.0,no,no,yes
112,19.0606652387,-98.3041773644,0,4.0,2,2.0,10.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,2.0,no,no,yes
113,19.0575527447,-98.305028882,6,2.0,2,2.0,10.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,2.0,no,no,yes
114,18.9994284396,-98.2730541006,2,6.0,30,2.0,10.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,2.0,no,no,no
115,18.9992848336,-98.273153007,2,6.0,25,2.0,10.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,2.0,no,no,no
116,18.9990511962,-98.2732485607,2,6.0,20,2.0,10.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,2.0,no,no,no
117,18.9990099847,-98.2736978307,2,6.0,40,2.0,10.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,2.0,no,no,no
118,18.9990226652,-98.2737645507,2,6.0,100,2.0,15.0,4.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,50.0,no,no,no
119,18.9990889206,-98.2738128304,2,6.0,5,3.0,7.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,10.0,no,no,no
120,18.9991462997,-98.2739110664,2,6.0,2,2.0,15.0,2.0,3.0,1.0,1.0,1.0,3.0,5.0,2.0,10.0,no,no,no
121,18.9990860675,-98.2738131657,2,6.0,1,2.0,10.0,5.0,0.0,1.0,1.0,1.0,3.0,5.0,2.0,10.0,no,no,no
122,18.9991871941,-98.2739938796,1,3.0,10,2.0,10.0,5.0,0.0,1.0,1.0,10.0,3.0,2.0,2.0,10.0,no,no,no
123,19.0439654034,-98.2013790035,1,3.0,3,2.0,10.0,5.0,0.0,1.0,1.0,10.0,3.0,2.0,2.0,10.0,no,yes,yes
124,19.0439749111,-98.2016961782,2,0.0,0,0.0,0.0,10.0,0.0,1.0,1.0,0.0,4.0,3.0,1.0,0.0,no,yes,yes
125,19.0432999683,-98.1964474585,2,0.0,0,0.0,0.0,10.0,0.0,1.0,1.0,0.0,4.0,3.0,1.0,0.0,no,yes,no
126,19.0405699102,-98.197072078,1,0.0,0,0.0,0.0,10.0,0.0,1.0,1.0,0.0,4.0,3.0,1.0,0.0,no,yes,no
127,19.0436743967,-98.201134218,3,2.0,3,10.0,14.0,3.0,0.0,1.0,1.0,0.0,4.0,3.0,3.0,30.0,no,no,yes
128,19.0440017492,-98.2009122091,2,1.0,6,10.0,14.0,3.0,0.0,1.0,1.0,0.0,4.0,3.0,3.0,30.0,no,no,yes
129,19.0439195986,-98.2014716097,0,2.0,2,10.0,14.0,3.0,0.0,1.0,1.0,0.0,4.0,3.0,3.0,30.0,no,no,yes
130,19.043971536,-98.2013931652,3,2.0,2,10.0,14.0,3.0,0.0,1.0,1.0,0.0,4.0,3.0,3.0,30.0,no,no,yes
131,19.0439668372,-98.2017912559,6,4.0,3,10.0,14.0,3.0,0.0,1.0,1.0,0.0,4.0,3.0,3.0,30.0,no,no,yes
132,19.016819,-98.220304,1,0.0,6,0.0,1.0,1.0,2.0,1.0,1.0,4.0,0.0,7.0,1.0,0.0,yes,yes,no
133,19.017336,-98.218743,1,0.0,0,2.0,2.0,0.0,1.0,1.0,1.0,4.0,0.0,7.0,1.0,0.0,yes,yes,no
